"gameid","team1","team2","team1sets","team2sets","team1win","team2win"
6174335,"Air Force","Bryant",3,1,1,0
6174336,"Tennessee","Marist",3,0,1,0
6174337,"Tarleton St.","Ark.-Pine Bluff",3,0,1,0
6174338,"Quinnipiac","Morgan St.",3,0,1,0
6174339,"High Point","UMBC",3,1,1,0
6174340,"SFA","Tulane",3,1,1,0
6174341,"Santa Clara","Jacksonville",3,0,1,0
6174342,"Bradley","Eastern Mich.",3,1,1,0
6174343,"Memphis","Miami (OH)",0,3,0,1
6174344,"Ball St.","Oklahoma",1,3,0,1
6174345,"Binghamton","Duquesne",3,1,1,0
6174346,"Buffalo","Florida A&M",3,1,1,0
6174347,"Central Mich.","Evansville",2,3,0,1
6174348,"Elon","Charleston So.",1,3,0,1
6174349,"St. Thomas (MN)","Oakland",1,3,0,1
6174350,"Middle Tenn.","Wofford",1,3,0,1
6174351,"SMU","Utah St.",1,3,0,1
6174352,"Texas","LMU (CA)",3,0,1,0
6174353,"Bucknell","Gardner-Webb",3,1,1,0
6174354,"Grand Canyon","Toledo",3,0,1,0
6174355,"App State","Tennessee Tech",3,0,1,0
6174356,"Hofstra","NJIT",3,1,1,0
6174357,"Southeastern La.","UTEP",1,3,0,1
6174358,"UMES","Alabama A&M",3,1,1,0
6174359,"Nicholls","Oral Roberts",0,3,0,1
6174360,"Howard","George Washington",3,2,1,0
6174361,"Eastern Ill.","Akron",3,1,1,0
6174362,"Idaho","North Dakota St.",1,3,0,1
6174363,"Youngstown St.","Saint Francis (PA)",1,3,0,1
6174364,"South Carolina","Towson",3,1,1,0
6174365,"UTSA","Tex. A&M-Commerce",3,1,1,0
6174366,"George Mason","American",2,3,0,1
6174367,"Georgia St.","Chattanooga",2,3,0,1
6174368,"Morehead St.","USC Upstate",3,0,1,0
6174369,"Alabama","Mercer",3,0,1,0
6174370,"South Dakota","DePaul",3,0,1,0
6174371,"Coppin St.","Jacksonville St.",3,0,1,0
6174372,"North Texas","UNLV",3,0,1,0
6174373,"Davidson","West Virginia",3,0,1,0
6174374,"Indiana St.","Alabama St.",3,1,1,0
6174375,"Western Ky.","Drake",3,0,1,0
6174376,"NC State","Utah",0,3,0,1
6174377,"California Baptist","CSUN",3,1,1,0
6174378,"Loyola Chicago","Duke",3,0,1,0
6174379,"Army West Point","Central Conn. St.",3,0,1,0
6174380,"Western Caro.","UConn",2,3,0,1
6174382,"Utah Tech","Manhattan",3,0,1,0
6174383,"Virginia Tech","Furman",3,0,1,0
6174384,"Western Ill.","Murray St.",1,3,0,1
6174385,"South Alabama","Jackson St.",3,1,1,0
