"gameid","team1","team2","set","team1pts","team2pts","team1setwon","team2setwon","team1sets","team2sets","team1win","team2win"
6174427,"Utah Valley","NC State",3,19,25,0,1,2,3,0,1
6174427,"Utah Valley","NC State",5,14,16,0,1,2,3,0,1
6174427,"Utah Valley","NC State",4,17,25,0,1,2,3,0,1
6174427,"Utah Valley","NC State",2,25,20,1,0,2,3,0,1
6174428,"Mississippi St.","Northwestern St.",2,25,14,1,0,3,0,1,0
6174428,"Mississippi St.","Northwestern St.",3,25,20,1,0,3,0,1,0
6174428,"Mississippi St.","Northwestern St.",1,25,11,1,0,3,0,1,0
6174429,"Wyoming","South Dakota St.",2,19,25,0,1,3,1,1,0
6174429,"Wyoming","South Dakota St.",4,25,22,1,0,3,1,1,0
6174429,"Wyoming","South Dakota St.",1,25,11,1,0,3,1,1,0
6174429,"Wyoming","South Dakota St.",3,25,17,1,0,3,1,1,0
6174430,"Rice","Southern California",2,25,22,1,0,3,0,1,0
6174430,"Rice","Southern California",3,25,18,1,0,3,0,1,0
6174430,"Rice","Southern California",1,25,21,1,0,3,0,1,0
6174431,"Western Mich.","UNI",2,25,17,1,0,3,1,1,0
6174431,"Western Mich.","UNI",1,25,22,1,0,3,1,1,0
6174431,"Western Mich.","UNI",4,30,28,1,0,3,1,1,0
6174431,"Western Mich.","UNI",3,16,25,0,1,3,1,1,0
6174432,"Old Dominion","Norfolk St.",1,25,9,1,0,3,0,1,0
6174432,"Old Dominion","Norfolk St.",2,29,27,1,0,3,0,1,0
6174432,"Old Dominion","Norfolk St.",3,25,17,1,0,3,0,1,0
6174433,"Houston","Southern Miss.",1,25,21,1,0,3,1,1,0
6174433,"Houston","Southern Miss.",3,23,25,0,1,3,1,1,0
6174433,"Houston","Southern Miss.",4,25,22,1,0,3,1,1,0
6174433,"Houston","Southern Miss.",2,25,18,1,0,3,1,1,0
